Apartment,IPIP_1,IPIP_2,IPIP_3,IPIP_4,IPIP_5,IPIP_6,IPIP_7,IPIP_8,IPIP_9,IPIP_10,Sleep_schedule,Noise_sensitivity,Cleanliness,Cleanliness_2,Cooking_at_home,Guests_over,Smoking,Alcohol,Vibe,Chores,Conflict,FlatmateFactors_Priority,Compatibility_Importance,Compatibility_OverallRating,Compat_DailyRoutines,Compat_Tidiness,Compat_Noise,Compat_Interaction,Compat_Conflict,Compat_Relaxedness
C.53,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Very important,Often,Every day,Once per week,Smoker,Sometimes,Mostly private,Do them when asked,Compromise quickly,Reliability in shared spaces,Slightly,Very compatible,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree
A.05,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,00:00-02:00,Neutral,Extremely important,Most of the time,Never,Rarely,Non-smoker,Rarely,Quiet & private,Avoid them,"Be direct, even if uncomfortable",Similar daily routines,Slightly,Moderately compatible,Agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree
D.52,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,00:00-02:00,Somewhat insensitive,Extremely important,Sometimes,Once per week,Once per week,Non-smoker,Sometimes,Quiet & private,Take responsibility for most,Try to solve problems through discussion,Shared interests / personality fit,Very,Very compatible,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
D.12,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,After 02:00,Somewhat insensitive,Extremely important,Often,Several times per week,Rarely,Smoker,Rarely,Mostly private,Do my fair share,Try to solve problems through discussion,Similar daily routines,Slightly,Moderately compatible,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree
E.51,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,00:00-02:00,Very sensitive,Moderately important,Sometimes,Rarely,Never,Non-smoker,Sometimes,Very social,Take responsibility for most,Try to solve problems through discussion,Similar daily routines,Very,Extremely compatible,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly agree,Disagree
A.16,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,22:00-00:00,Neutral,Very important,Rarely,Once per week,Rarely,Smoker,Very often,Balanced,Do them when asked,Avoid confrontation,Reliability in shared spaces,Very,Slightly compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly agree
D.24,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Somewhat sensitive,Very important,Rarely,Several times per week,A few times per month,Smoker,Never,Balanced,Take responsibility for most,Compromise quickly,Reliability in shared spaces,Moderately,Extremely compatible,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Agree
E.11,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Often,Rarely,A few times per month,Non-smoker,Rarely,Balanced,Take responsibility for most,"Be direct, even if uncomfortable",Reliability in shared spaces,Very,Not at all compatible,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree
MO41,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Somewhat sensitive,Moderately important,Sometimes,Several times per week,Several times per week,Non-smoker,Very often,Balanced,Take responsibility for most,Try to solve problems through discussion,Being social and engaging,Slightly,Very compatible,Disagree,Strongly agree,Agree,Agree,Disagree,Strongly disagree
A.05,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,After 02:00,Neutral,Moderately important,Often,Rarely,A few times per month,Non-smoker,Sometimes,Very social,Do my fair share,"Be direct, even if uncomfortable",Not important / flexible,Moderately,Moderately compatible,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree
MO52,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,22:00-00:00,Neutral,Very important,Rarely,Several times per week,Several times per week,Non-smoker,Rarely,Balanced,Take responsibility for most,Try to solve problems through discussion,Being social and engaging,Very,Very compatible,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree
FR.33,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,22:00-00:00,Somewhat insensitive,Very important,Rarely,Once per week,A few times per month,Non-smoker,Often,Quiet & private,Take responsibility for most,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Very compatible,Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree
MO51,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,00:00-02:00,Somewhat insensitive,Moderately important,Often,Rarely,Rarely,Non-smoker,Sometimes,Balanced,Do my fair share,Try to solve problems through discussion,Respect for boundaries,Slightly,Very compatible,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree
MO52,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,00:00-02:00,Somewhat insensitive,Very important,Most of the time,Several times per week,Rarely,Non-smoker,Sometimes,Very social,Do my fair share,Try to solve problems through discussion,Similar daily routines,Very,Not at all compatible,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree
A.51,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Agree,22:00-00:00,Neutral,Extremely important,Most of the time,Never,Several times per week,Smoker,Often,Mostly private,Often take initiative,Compromise quickly,Being social and engaging,Very,Very compatible,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree
MO51,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,00:00-02:00,Neutral,Extremely important,Often,Every day,A few times per month,Non-smoker,Often,Balanced,Do my fair share,Compromise quickly,Respect for boundaries,Moderately,Slightly compatible,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree
E.01,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Very important,Sometimes,Once per week,A few times per month,Non-smoker,Rarely,Quiet & private,Often take initiative,Compromise quickly,Being social and engaging,Very,Not at all compatible,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree
A.06,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,00:00-02:00,Neutral,Extremely important,Sometimes,Never,Once per week,Non-smoker,Sometimes,Quiet & private,Avoid them,Try to solve problems through discussion,Respect for boundaries,Moderately,Slightly compatible,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly disagree
A.45,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,After 02:00,Somewhat insensitive,Very important,Often,Never,A few times per month,Non-smoker,Often,Social & lively,Do my fair share,Avoid confrontation,Reliability in shared spaces,Extremely,Moderately compatible,Neither agree nor disagree,Agree,Agree,Disagree,Strongly agree,Agree
A.45,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,22:00-00:00,Neutral,Moderately important,Sometimes,Several times per week,A few times per month,Non-smoker,Rarely,Mostly private,Do them when asked,Compromise quickly,Not important / flexible,Very,Very compatible,Strongly agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
B.33,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,00:00-02:00,Somewhat sensitive,Extremely important,Always,Several times per week,Rarely,Non-smoker,Rarely,Mostly private,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Slightly,Slightly compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree
MO52,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,00:00-02:00,Neutral,Moderately important,Sometimes,Rarely,Never,Non-smoker,Often,Mostly private,Do them when asked,Compromise quickly,Reliability in shared spaces,Moderately,Slightly compatible,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree
CU.51,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Moderately important,Most of the time,Every day,A few times per month,Non-smoker,Never,Very social,Take responsibility for most,"Be direct, even if uncomfortable",Reliability in shared spaces,Very,Moderately compatible,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree
FR.71,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Very sensitive,Very important,Sometimes,Once per week,Rarely,Smoker,Rarely,Quiet & private,Do them when asked,Try to solve problems through discussion,Not important / flexible,Extremely,Extremely compatible,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
E.51,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Before 22:00,Very sensitive,Very important,Sometimes,Rarely,Once per week,Non-smoker,Sometimes,Social & lively,Take responsibility for most,Try to solve problems through discussion,Respect for boundaries,Slightly,Moderately compatible,Strongly agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
B.14,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,00:00-02:00,Neutral,Very important,Rarely,Once per week,Never,Non-smoker,Sometimes,Mostly private,Often take initiative,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Very compatible,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree
C.44,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,22:00-00:00,Somewhat insensitive,Moderately important,Often,Several times per week,Once per week,Smoker,Rarely,Social & lively,Do my fair share,"Be direct, even if uncomfortable",Respect for boundaries,Slightly,Moderately compatible,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree
MO.71,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,22:00-00:00,Somewhat insensitive,Very important,Often,Once per week,Once per week,Smoker,Often,Very social,Do them when asked,Compromise quickly,Being social and engaging,Slightly,Very compatible,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree
CU.41,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,22:00-00:00,Neutral,Extremely important,Sometimes,Never,Once per week,Non-smoker,Sometimes,Mostly private,Do them when asked,Try to solve problems through discussion,Reliability in shared spaces,Very,Extremely compatible,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
A.05,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Somewhat insensitive,Extremely important,Sometimes,Once per week,A few times per month,Non-smoker,Rarely,Quiet & private,Do my fair share,Compromise quickly,Reliability in shared spaces,Not at all,Moderately compatible,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree
A.05,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,00:00-02:00,Somewhat sensitive,Very important,Sometimes,Rarely,Rarely,Non-smoker,Sometimes,Quiet & private,Avoid them,"Be direct, even if uncomfortable",Respect for boundaries,Very,Moderately compatible,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree
A.25,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,00:00-02:00,Neutral,Very important,Most of the time,Several times per week,Never,Non-smoker,Rarely,Social & lively,Do my fair share,"Be direct, even if uncomfortable",Reliability in shared spaces,Extremely,Very compatible,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
FR.52,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,22:00-00:00,Somewhat sensitive,Moderately important,Sometimes,Several times per week,Rarely,Non-smoker,Sometimes,Quiet & private,Take responsibility for most,Try to solve problems through discussion,Shared interests / personality fit,Extremely,Extremely compatible,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree
E.32,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Somewhat insensitive,Very important,Most of the time,Several times per week,A few times per month,Non-smoker,Often,Mostly private,Do them when asked,"Be direct, even if uncomfortable",Respect for boundaries,Slightly,Slightly compatible,Agree,Disagree,Strongly disagree,Agree,Agree,Agree
CU.31,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,00:00-02:00,Neutral,Very important,Often,Once per week,Rarely,Non-smoker,Sometimes,Mostly private,Do my fair share,Avoid confrontation,Being social and engaging,Very,Moderately compatible,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree
MO52,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Somewhat insensitive,Very important,Sometimes,Several times per week,Rarely,Non-smoker,Sometimes,Mostly private,Take responsibility for most,Avoid confrontation,Reliability in shared spaces,Extremely,Very compatible,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree
MO42,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Before 22:00,Neutral,Extremely important,Most of the time,Once per week,Never,Non-smoker,Rarely,Quiet & private,Take responsibility for most,Compromise quickly,Not important / flexible,Slightly,Moderately compatible,Strongly disagree,Agree,Agree,Disagree,Agree,Strongly agree
A.21,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,After 02:00,Somewhat insensitive,Very important,Often,Rarely,Rarely,Non-smoker,Rarely,Social & lively,Take responsibility for most,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Slightly compatible,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree
C.34,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,00:00-02:00,Somewhat insensitive,Very important,Sometimes,Rarely,Rarely,Non-smoker,Sometimes,Social & lively,Take responsibility for most,Avoid confrontation,Similar daily routines,Extremely,Moderately compatible,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree
CU.22,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Sometimes,Several times per week,Rarely,Non-smoker,Never,Balanced,Do my fair share,"Be direct, even if uncomfortable",Similar daily routines,Slightly,Slightly compatible,Agree,Agree,Agree,Strongly disagree,Agree,Neither agree nor disagree
B.12,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Before 22:00,Somewhat insensitive,Extremely important,Most of the time,Rarely,Rarely,Smoker,Often,Balanced,Take responsibility for most,Compromise quickly,Similar daily routines,Extremely,Slightly compatible,Agree,Disagree,Strongly agree,Agree,Disagree,Agree
A.54,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,After 02:00,Somewhat insensitive,Very important,Sometimes,Once per week,Once per week,Non-smoker,Often,Balanced,Take responsibility for most,"Be direct, even if uncomfortable",Similar daily routines,Moderately,Extremely compatible,Agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree
D.44,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,00:00-02:00,Neutral,Very important,Most of the time,Every day,Once per week,Non-smoker,Sometimes,Social & lively,Do my fair share,"Be direct, even if uncomfortable",Shared interests / personality fit,Slightly,Moderately compatible,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Disagree
C.01,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Very sensitive,Moderately important,Often,Every day,Rarely,Non-smoker,Often,Balanced,Do my fair share,"Be direct, even if uncomfortable",Respect for boundaries,Moderately,Very compatible,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree
D.61,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,After 02:00,Neutral,Very important,Often,Once per week,Never,Non-smoker,Rarely,Balanced,Do my fair share,Try to solve problems through discussion,Similar daily routines,Slightly,Very compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree
TU.51,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,After 02:00,Neutral,Moderately important,Most of the time,Several times per week,A few times per month,Non-smoker,Very often,Balanced,Do my fair share,Try to solve problems through discussion,Not important / flexible,Slightly,Moderately compatible,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree
A.01,Agree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Neutral,Extremely important,Rarely,Several times per week,Never,Non-smoker,Often,Social & lively,Do them when asked,Compromise quickly,Being social and engaging,Moderately,Very compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Disagree
C.24,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Before 22:00,Somewhat sensitive,Very important,Most of the time,Every day,Once per week,Non-smoker,Often,Mostly private,Often take initiative,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Slightly compatible,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree
FR.53,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly agree,After 02:00,Neutral,Very important,Rarely,Several times per week,A few times per month,Non-smoker,Rarely,Mostly private,Do my fair share,"Be direct, even if uncomfortable",Shared interests / personality fit,Moderately,Moderately compatible,Disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Disagree
FR.51,Disagree,Agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Before 22:00,Neutral,Extremely important,Rarely,Never,A few times per month,Smoker,Never,Mostly private,Do my fair share,Compromise quickly,Shared interests / personality fit,Slightly,Moderately compatible,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree
D.53,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Agree,After 02:00,Somewhat sensitive,Very important,Rarely,Rarely,Never,Non-smoker,Rarely,Balanced,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Very,Moderately compatible,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree
A.61,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,Agree,22:00-00:00,Neutral,Extremely important,Often,Once per week,A few times per month,Non-smoker,Often,Mostly private,Often take initiative,Compromise quickly,Shared interests / personality fit,Moderately,Slightly compatible,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
CU.12,Disagree,Strongly agree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,00:00-02:00,Somewhat sensitive,Extremely important,Rarely,Never,A few times per month,Non-smoker,Sometimes,Balanced,Do them when asked,Try to solve problems through discussion,Being social and engaging,Very,Slightly compatible,Disagree,Agree,Agree,Strongly disagree,Agree,Agree
B.34,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Before 22:00,Somewhat insensitive,Moderately important,Rarely,Once per week,Once per week,Non-smoker,Very often,Balanced,Do them when asked,Avoid confrontation,Being social and engaging,Very,Slightly compatible,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree
C.13,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,00:00-02:00,Neutral,Extremely important,Most of the time,Rarely,Rarely,Non-smoker,Sometimes,Social & lively,Often take initiative,Avoid confrontation,Reliability in shared spaces,Slightly,Moderately compatible,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree
B.04,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,22:00-00:00,Neutral,Very important,Often,Several times per week,Never,Non-smoker,Rarely,Quiet & private,Do my fair share,"Be direct, even if uncomfortable",Not important / flexible,Not at all,Extremely compatible,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree
B.41,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,22:00-00:00,Somewhat insensitive,Very important,Most of the time,Once per week,A few times per month,Non-smoker,Sometimes,Balanced,Avoid them,Avoid confrontation,Being social and engaging,Extremely,Extremely compatible,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree
C.03,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,After 02:00,Neutral,Extremely important,Sometimes,Several times per week,Never,Non-smoker,Often,Balanced,Do my fair share,Avoid confrontation,Respect for boundaries,Very,Slightly compatible,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree
CU.21,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,00:00-02:00,Somewhat insensitive,Extremely important,Sometimes,Several times per week,Never,Non-smoker,Sometimes,Mostly private,Often take initiative,Try to solve problems through discussion,Not important / flexible,Slightly,Slightly compatible,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
E.32,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Before 22:00,Somewhat sensitive,Moderately important,Most of the time,Every day,Several times per week,Non-smoker,Often,Balanced,Often take initiative,Compromise quickly,Reliability in shared spaces,Very,Not at all compatible,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree
FR.62,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Rarely,Several times per week,Rarely,Non-smoker,Sometimes,Social & lively,Do my fair share,Compromise quickly,Reliability in shared spaces,Not at all,Slightly compatible,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree
D.03,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Before 22:00,Neutral,Very important,Most of the time,Every day,A few times per month,Non-smoker,Sometimes,Mostly private,Do them when asked,Compromise quickly,Reliability in shared spaces,Not at all,Very compatible,Neither agree nor disagree,Agree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree
B.03,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Moderately important,Rarely,Several times per week,Once per week,Smoker,Sometimes,Social & lively,Often take initiative,Prefer not to say,Similar daily routines,Moderately,Extremely compatible,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree
A.26,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,After 02:00,Neutral,Moderately important,Most of the time,Rarely,Rarely,Non-smoker,Never,Social & lively,Take responsibility for most,"Be direct, even if uncomfortable",Similar daily routines,Slightly,Slightly compatible,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly agree,Agree
